,,,,,,Total Number of Employees,Distribution by Category,,Salary Data,,,Performance Evaluation,,,,Leaves and Absenteeism,,,Training and Development,,,Resignations and Recruitment,,,Insurance and Benefits,,,,,,,,,,,,,,,,
State,Abbreviation,"Average annual salaries
","Average Monthly salaries
",Labor force rate,Unemployment rate,"Total Number of Employees
","Full-time employees
",Part-time employees,Average monthly salary,Minimum salary,Maximum salary,"Employees rated as ""Excellent""","Employees rated as ""Very Good""","Employees rated as ""Good""",Employees with low performance,Average annual leave per employee,Total sick leave days per year,Unjustified absenteeism rate,Number of training courses conducted annually,Number of employees who received training,Training budget,Number of new hires during the year,Number of employees who resigned or whose contracts ended,Employee turnover rate,Percentage of employees covered by health insurance,Average annual health insurance cost per employee,,,,,,,,,,,,,,,
Alabama,AL,"43,000","3,583",57.80%,2.40%,"1,896,000","1,744,200","410,400","4,667","1,257","11,667","228,000","570,000","1,140,000","342,000",15,"6,840,000",1,500,"10,000","85,000,000","1,020,000","948,000",43%,82%,"6,500",,,,,,,,,,"Please note that these numbers represent general averages and may vary based on profession, experience, and industry. For example, in California, the average salary for teachers is about $84,659 per year, while in Delaware it is $64,853 per year. 

Additionally, minimum wages vary in these states",,,,,"Ì—ÃÏ „·«ÕŸ… √‰ Â–Â «·√—ﬁ«„  „À· „ Ê”ÿ«  ⁄«„… Êﬁœ  Œ ·› »‰«¡ ⁄·Ï «·„Â‰…° «·Œ»—…° Ê«·’‰«⁄…. ⁄·Ï ”»Ì· «·„À«·° ›Ì ﬂ«·Ì›Ê—‰Ì«° Ì»·€ „ Ê”ÿ —« » «·„⁄·„Ì‰ ÕÊ«·Ì 84,659 œÊ·«—« ”‰ÊÌ«° »Ì‰„« ›Ì œÌ·«ÊÌ— Ì’· ≈·Ï 64,853 œÊ·«—« ”‰ÊÌ«. 

»«·≈÷«›… ≈·Ï –·ﬂ°  Œ ·› «·Õœ «·√œ‰Ï ··√ÃÊ— ›Ì Â–Â «·Ê·«Ì« "
Alaska,AK,"49,700","4,142",64.10%,5.40%,"280,000","230,000","100,000","5,309","2,039","13,250","32,000","80,000","160,000","48,000",15,"960,000",1,300,"5,000","20,000,000","204,000","192,000",62%,80%,"7,500",,,,,,,,,,,,,,,
Arizona,AZ,"48,000","4,000",61.10%,3.50%,"2,909,000","2,100,000","1,100,000","5,083","2,522","12,500","322,000","805,000","1,610,000","483,000",15,"9,660,000",1,600,"15,000","50,000,000","1,488,000","1,500,000",47%,83%,"6,800",,,,,,,,,,,,,,,
Arkansas,AR,"49,800","4,150",57.90%,3.20%,"1,343,700","920,000","330,000","4,400","1,987","10,833","135,000","337,500","675,000","202,500",15,"4,050,000",1,500,"12,000","60,000,000","684,000","624,000",47%,81%,"6,300",,,,,,,,„ Ê”ÿ «·„— »«  «·”‰ÊÌ Ê«·‘Â—Ì ·Â–Â «·Ê·«Ì«  Alabama Alaska Arizona Arkansas,,,,,,,
California,CA,"113,651","9,471",61.90%,4.10%,"18,400,000","13,700,000","4,600,000","6,102","2,887","14,583","1,790,000","4,475,000","8,950,000","2,685,000",15,"53,700,000",1,"2,000","50,000","200,000,000","6,132,000","6,108,000",34%,85%,"7,200",,,,,,,,,,,,,,,
Colorado,CO,"103,292","8,608",67.70%,3.80%,"3,014,000","2,100,000","900,000","4,729","2,565","12,917","298,000","745,000","1,490,000","447,000",15,"8,940,000",1,700,"20,000","70,000,000","1,224,000","1,164,000",43%,84%,"7,000",,,,,,,,,,,,,,,
Connecticut,CT,"100,381","8,365",64.90%,3.20%,"1,700,000","1,200,000","450,000","5,436","2,714","14,167","170,000","425,000","850,000","255,000",15,"5,100,000",1,600,"15,000","50,000,000","732,000","696,000",41%,86%,"7,300",,,,,,,,,,,,,,,
Delaware,DE,"94,141","7,845",58.90%,3.60%,"470,000","380,000","120,000","4,896","2,383","11,667","48,000","120,000","240,000","72,000",15,"1,440,000",1,400,"8,000","30,000,000","228,000","216,000",46%,85%,"6,900",,,,,,,,,,,,,,,
Florida,FL,"93,309","7,776",57.70%,3.40%,"9,600,000","7,800,000","2,600,000","4,768","2,167","12,083","970,000","2,425,000","4,850,000","1,455,000",15,"29,100,000",1,"1,500","40,000","150,000,000","4,248,000","4,260,000",45%,82%,"6,600",,i want to know Labor force rate and Unemployment rate for these stats,,,,,,,,,,,,,
Georgia,GA,"96,886","8,074",61.30%,3.60%,"4,994,900","4,100,000","1,400,000","4,355","1,257","11,667","485,000","1,212,500","2,425,000","727,500",15,"14,550,000",1,"1,200","30,000","100,000,000","2,352,000","2,160,000",43%,83%,"6,700",,,,,,,,,,,,,,,
Hawaii,HI,"113,693","9,474",59.80%,3.00%,"643,900","450,000","150,000","5,781","2,589","13,750","65,000","162,500","325,000","97,500",15,"1,950,000",1,350,"6,000","25,000,000","240,000","252,000",39%,88%,"7,800",,,,,,,,,,,,,,,
Idaho,ID,"88,733","7,394",63.80%,3.80%,"886,600","700,000","230,000","3,473","1,257","10,833","85,000","212,500","425,000","127,500",15,"2,550,000",1,450,"10,000","35,000,000","468,000","480,000",54%,80%,"6,400",,,,,,,,,,,,,,,
Illinois,IL,"95,098","7,925",64.80%,4.90%,"6,156,600","4,700,000","1,600,000","4,999","2,589","12,917","600,000","1,500,000","3,000,000","900,000",15,"18,000,000",1,"1,800","45,000","180,000,000","2,616,000","2,364,000",39%,85%,"7,100",,,,,,,,,,,,,,,
Indiana,IN,"85,030","7,086",63.50%,4.50%,"3,308,400","2,500,000","800,000","4,516","1,257","11,250","325,000","812,500","1,625,000","487,500",15,"9,750,000",1,900,"25,000","80,000,000","1,584,000","1,512,000",47%,84%,"6,800",,,,,,,,,,,,,,,
Iowa,IA,"83,366","6,947",67.30%,3.30%,"1,606,200","1,250,000","400,000","4,696","1,257","10,833","160,000","400,000","800,000","240,000",15,"4,800,000",1,600,"15,000","50,000,000","696,000","636,000",44%,85%,"6,600",,"i want to know the  (""Average annual salaries ,  Average Monthly salaries , ) for some stats in us i will send you ' ",,,,,,,,,,,,,
